Brand,Brand Collection,Name,Product,Item Type,Application,Description,Dealer Price,MSRP,Unit,Driver Components,Crossover,Frequency Response,Recommended Amp Power,Input Connectors,Mounting Options,Warranty,Woofer,Midrange,Tweeter,Coverage / Dispersion,Mounting Depth,Cutout Diameter,Speaker / Grille Diameter,Channels,Output Power @ 2 Ohm,Output Power @ 4 Ohm,Output Power @ 8 Ohm,Output Power @ 70V,Output Power @ 100V,Powersharing (up to),Power Consumption,Output Voltage,Total System Power,Inputs,Outputs,Power Handling,Dimensions,Weight,Impedance,Sensitivity,Max SPL,Transformer Taps,System Type,Enclosure,Colors
Ambisonic,HD,6.5HD2-70V,Line-Array,Speaker,Outdoor,2x6.5HD-AW-8ohm-Black 1xBRK-6.5-SM-B 2x6.5HDCP-B 2x100WTF 2xHDACCS-B,2150,4300,each (ea),,"Passive, Custom (1500Hz)",50Hz–20kHz (–10dB); 78Hz–20kHz ±3dB,,,,,"2× 6.5"" Composite Cone",,"2× 6"" Ribbon Driver","110° H, 40° V",,,,,,,,,,,,,,,,RMS: 200W AES | Prog: 400W | Peak: 800W,"15"" × 11.5"" × 11.8"" (38 × 29.21 × 30cm)",45.6lbs (20.4kg) net / 51.6lbs (23.1kg) ship,4? nominal (3.4? min @ 160Hz),95.0,Cont: 115.0dB / Peak: 124.0 dB (Calculated)dB,70V 100W Transformer,Hybrid Coaxial Ribbon Two-Way Full Range (2× Splayed Array),"All Weather Trapezoid Composite, IP-65; Limited 5-Year Warranty",
Ambisonic,HD,6.5HD-70V,Line-Array,Speaker,Outdoor,1x6.5HD-AW-8ohm-Black 1x6.5HDSPIKE-B 1x100WTF 1xHDACCS-B,1075,2150,each (ea),,"Passive, Custom. HPF 45Hz, 12dB Butterworth",50Hz–20kHz (–10dB); 78Hz–20kHz ±3dB,,,,,"6.5"" Composite Cone",,"6"" Ribbon Driver","110° H, 60° V",,,,,,,,,,,,,,,,RMS: 100W AES | Prog: 200W | Peak: 400W,"7.4"" × 11.5"" × 11.8"" (18.8 × 29.21 × 30cm)",8?: 19.8lbs (9kg) / 24.6lbs (11.18kg); 70V: 22.8lbs (10.4kg) / 27.6lbs (12.5kg),8? nominal (5.7? min @ 160Hz),89.0,Cont: 109.0dB / Peak: 115.0dB,70V 100W,Hybrid Coaxial Ribbon Two-Way Full Range (Landscape Mount),"All Weather Trapezoid Composite, IP-65; Limited 5-Year Warranty",
Ambisonic,HD,6.5HD-8ohm,Line-Array,Speaker,Outdoor,1x6.5HD-AW-8ohm-Black 1x6.5HDSPIKE-B,968,1935,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Ohm,,,,,,
Ambisonic,HD,6.5HD-70V,Line-Array,Speaker,Outdoor,1x6.5HD-AW-8ohm-Black 1xBRK-6.5-SM-B 1x100WTF 1xHDACCS-B,1075,2150,each (ea),,"Passive, Custom. HPF 45Hz, 12dB Butterworth",50Hz–20kHz (–10dB); 78Hz–20kHz ±3dB,,,,,"6.5"" Composite Cone",,"6"" Ribbon Driver","110° H, 60° V",,,,,,,,,,,,,,,,RMS: 100W AES | Prog: 200W | Peak: 400W,"7.4"" × 11.5"" × 11.8"" (18.8 × 29.21 × 30cm)",70V: 22.8lbs (10.4kg) net / 27.6lbs (12.5kg) ship,8? nominal (5.7? min @ 160Hz),89.0,Cont: 109.0dB / Peak: 115.0dB,70V 100W,Hybrid Coaxial Ribbon Two-Way Full Range,"All Weather Trapezoid Composite, IP-65; Limited 5-Year Warranty",
Ambisonic,HD,6.5HD-8ohm,Line-Array,Speaker,Outdoor,1x6.5HD-AW-8ohm-Black 1xBRK-6.5-SM-B,968,2150,each (ea),,"Passive, Custom. HPF 45Hz, 12dB Butterworth",50Hz–20kHz (–10dB); 78Hz–20kHz ±3dB,,,,,"6.5"" Composite Cone",,"6"" Ribbon Driver","110° H, 60° V",,,,,,,,,,,,,,,,RMS: 100W AES | Prog: 200W | Peak: 400W,"7.4"" × 11.5"" × 11.8"" (18.8 × 29.21 × 30cm)",8?: 19.8lbs (9kg) net / 24.6lbs (11.18kg) ship,8? nominal (5.7? min @ 160Hz),89.0,Cont: 109.0dB / Peak: 115.0dB,,Hybrid Coaxial Ribbon Two-Way Full Range,"All Weather Trapezoid Composite, IP-65; Limited 5-Year Warranty",
Ambisonic,Seasons,ALSB106,Bollard,Speaker,Outdoor,1X ALSB106HS 1X ALSB106HT 1X ALSB106SL-BL,1613,3360,each (ea),,,48Hz–20kHz,,,,,"10"" (254mm) Polypropylene","6.5"" (165mm) Polypropylene","1"" (25mm) HD Aluminum Conical Ribbon",,,,,,,,,,,,,,,,,RMS: 200W Sub / 100W Sat RMS | Prog: 400W Sub / 200W Sat | Peak: 800W Sub / 400W Sat,"Sub: Ø17-23/32"" (450mm) × 9-9/16"" (243mm) depth; Sleeve: 8-11/16"" × 8-1/8"" (220×206mm); Total H: 36-3/4"" (933mm)",,6? Sub / 7? Sat,,,70V: 200W Sub / 100W Midrange; 100V: 200W Sub / 100W Midrange,All-Weather Landscape Satellite System,"Poly Composite, Weather Resistant","Midnight Black, Champagne, Stargazing Silver"
Ambisonic,Seasons,ALSB64,Bollard,Speaker,Outdoor,"Ambisonic bollards 6"" burial subwoofer+4"" midrange with Black color and Hexagon shape",807,1882,each (ea),,,48Hz–20kHz,,,,,"6.5"" (165mm) Polypropylene","4.5"" (115mm) Aluminum","1"" (25mm) HD Aluminum Conical Ribbon",,,,,,,,,,,,,,,,,RMS: 50W Sub / 50W Sat RMS | Prog: 100W Sub / 100W Sat | Peak: 200W Sub / 200W Sat,"Sub: Ø12-5/16"" (315mm) × 8-3/8"" (212mm) depth; Sleeve: 6-7/32"" × 5-13/16"" (158×148mm); Total H: 27-1/16"" (688mm)",,6? Sub / 4? Sat,,,70V: 50W Sub / 50W Midrange; 100V: 50W Sub / 50W Midrange,All-Weather Landscape Satellite System,"Poly Composite, Weather Resistant","Midnight Black, Champagne, Stargazing Silver"
Ambisonic,Seasons,ALSB85,Bollard,Speaker,Outdoor,"Ambisonic bollards 8"" burial subwoofer+5.25"" midrange with Black color and Hexagon shape ",1210,2634,each (ea),,,48Hz–20kHz,,,,,"8"" (203mm) Polypropylene","5.25"" (133mm) Polypropylene","1"" (25mm) HD Aluminum Conical Ribbon",,,,,,,,,,,,,,,,,RMS: 100W Sub / 50W Sat RMS | Prog: 200W Sub / 100W Sat | Peak: 400W Sub / 200W Sat,"Sub: Ø15-3/4"" (400mm) × 9-1/16"" (230mm) depth; Sleeve: 7-7/16"" × 6-15/16"" (188×176mm); Total H: 31-1/16"" (788mm)",,6? Sub / 6? Sat,,,70V: 100W Sub / 50W Midrange; 100V: 100W Sub / 50W Midrange,All-Weather Landscape Satellite System,"Poly Composite, Weather Resistant","Midnight Black, Champagne, Stargazing Silver"
Ambisonic,Marquee,AM3600,In-Wall,Speaker,Indoor,In-Wall LCR Front/Surround Ambisonic Marquee Theater Speaker,1935,5250,each (ea),,,45Hz–20kHz (–10dB); 70Hz–20kHz (–3dB),,,,,,,,"100° H, 60° V",,,,,,,,,,,,,,,,,"OW: 21-9/16""H × 13""W × 4-11/16""D (548×330×119mm); IW: 21-9/16""H × 13""W × 3-7/16""D (548×330×88mm)",,4 ohms,92.0,Cont: 115.0dB / Peak: 118.0dB,,Architectural In-Wall Speaker,Origin Pro Amplifiers recommended,
Ambisonic,Marquee,AM5600,In-Wall,Speaker,Indoor,In-Wall LCR Front Ambisonic Marquee Theater Speaker (Full-Range) ,2903,7875,each (ea),,,32Hz–20kHz (–10dB); 43Hz–20kHz (–3dB),,,,,,,,"100° H, 60° V",,,,,,,,,,,,,,,,,"OW: 43-5/8""H × 13""W × 4-5/16""D (1108×330×119mm); IW: 43-5/8""H × 13""W × 3-7/16""D (1108×330×88mm)",,4 ohms,94.0,Cont: 120.0dB / Peak: 123.0dB,,Architectural In-Wall Speaker,Origin Pro Amplifiers (bi-amped) recommended,
Ambisonic,Marquee,AM6500A,On-Wall,Speaker,Indoor,"Ambisonic Marquee On-Wall Angled 6.5"" Box Speaker",914,2465,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Ohm,,,,,No data — skipped,
Ambisonic,Marquee,AMD10IWSUB,In-Wall,Subwoofer,Indoor,"Ambisonic Marquee In-Wall Dual 10"" Subwoofer ",1344,3875,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Ohm,,,,,,
Ambisonic,Seasons,ASM63,Surface Mount,Speaker,Outdoor,"Black aluminum extruded outdoor speaker with 6.5” woofer and 3"" planar magnetic ribbon tweeter.",1000,2000,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 Ohm,,,,,,
Ambisonic,Seasons,ASM63SUB,Surface Mount,Speaker,Outdoor,Black aluminum extruded outdoor subwoofer with custom 8”  PP woofer,650,1290,each (ea),"6"" Polypropylene Cone Woofer",,28Hz – 300Hz | 37Hz – 300Hz +/- 3dB,150W – 300W (PCT),Phoenix Connectors,Swivel (Horizontal) or Pan (Vertical),,,,,,,,,,,,,,,,,,,,,Handling: 150W Continuous / 300W Program / 600W Peak,209mm x 356mm W x 191mm H,,8 Ohm,89dB (1m / 2.83V),110.8 dB (Calculated),,Outdoor Universal Surface Mount Subwoofer,,
Origin Acoustics,BLENDS,Blends602,Invisible,Speaker,Indoor,"6.5"" 2-way BLENDS Invisible Speaker",650,1625,Pair (pr),,,45Hz–20kHz,,,,,"6.5"" (165mm) cone, 15oz (425gr) ceramic magnet",,"1-1/8"" (30mm) Neodymium",,,,,,,,,,,,,,,,,RMS: 50W MIN | Prog: 100W RMS,,,8? nominal,83.0,,,"6.5"" 2-Way Full Range In-Ceiling",Two independent self-resetting protection devices (low & high),
Origin Acoustics,BLENDS,Blends800Sub,Invisible,Subwoofer,Indoor,"8"" Invisible BLENDS Subwoffer (2x)",650,1625,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Acoustics,BLENDS,Blends802,Invisible,Speaker,Indoor,"8"" 2-way BLENDS Invisible Speaker",860,2150,Pair (pr),,,45Hz–20kHz,,,,,"8"" (203mm) cone, 20oz (567gr) ceramic magnet",,"1"" (25mm) Neodymium",,,,,,,,,,,,,,,,,RMS: 60W MIN | Prog: 120W RMS,,,8? nominal,83.0,,,"8"" 2-Way Full Range In-Ceiling",Two independent self-resetting protection devices (low & high),
Origin Acoustics,BLENDS,Blends803,Invisible,Speaker,Indoor,"8"" 3-way BLENDS Invisible Speaker",1075,2625,Pair (pr),,,40Hz–20kHz,,,,,"8"" (203mm) cone, 20oz (567gr) ceramic magnet","1-1/8"" (30mm) Neodymium","1"" (25mm) Neodymium",,,,,,,,,,,,,,,,,RMS: 80W MIN | Prog: 160W RMS | Peak: 320W,,,8? nominal,83.0,Peak: 108.1 dB (Calculated)dB,,"8"" 3-Way Full Range In-Ceiling","Three independent self-resetting protection devices (low, mid & high)",
Origin Acoustics,BLENDS,BlendsCSUB10,Invisible,Subwoofer,Indoor,In Wall - Slot Ported Sub,800,2150,each (ea),"10"" Non-Magnetic High-Extension Poly, Rubber Surround, Butylene Woofer",,,Max Amp limited to 500W RMS,,Direct In-Wall Mounting or Wall Installation only,,,,,,,,,,,,,,,,,,,,,,,,,,"118dB Continuous, 122dB Peak",,IN-WALL AND IN-CEILING SUBWOOFER WITH CUSTOMIZABLE TRIM,,
Origin Acoustics,Composer,C63,In-Wall,Speaker,Indoor,"Composer Thinline Series - Rectangular In-Wall 2-Way Loudspeaker, Pivoting Aluminum Tweeter, 4x8"" Poly-Rubber Woofer and Patented SpringLock Tool-less Mounting System.",113,328,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,C65,In-Wall,Speaker,Indoor,"Composer Thinline Series - Rectangular In-Wall 2-Way Loudspeaker, Pivoting Aluminum Tweeter, 4x8"" IMG Woofer and Patented SpringLock Tool-less Mounting System.",146,420,each (ea),,,45Hz–20kHz,,,,,"4× 8"" (102×203mm) IMG",,"1"" (25mm) Aluminum",,,,,,,,,,,,,,,,,RMS: 25–110W,,,8 ohm,,,,In-Wall Speaker,,
Origin Acoustics,Composer,C65EX,In-Wall,Speaker,Marine,"Explorer Series - Rectangular In-Wall 2-Way Loudspeaker with 4x8"" IMG Woofer, Pivoting Aluminum Tweeter and Patented SpringLock Tool-less Mounting System.",178,511,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,C67,In-Wall,Speaker,Indoor,"Composer Thinline Series - Rectangular In-Wall 2-Way Loudspeaker, Pivoting Silk DPSD Tweeter, 4x8"" Glass Fiber Woofer and Patented SpringLock Tool-less Mounting System.",178,511,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,C69,In-Wall,Speaker,Indoor,"Composer Thinline Series - Rectangular In-Wall 2-Way Loudspeaker, Pivoting Silk DPSD Tweeter, 4x8"" Kevlar Woofer and Patented SpringLock Tool-less Mounting System.",301,855,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,CIW61,In-Wall,Speaker,Indoor,"Composer In-Wall Series - Rectangular In-Wall 2 Way Loudspeaker, Traditional Footprint, Pivoting Silk Tweeter, 6.5"" Poly-Rubber Woofer (Pair).",183,527,Pair (pr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,CIW63,In-Wall,Speaker,Indoor,"Composer In-Wall Series - Rectangular In-Wall 2 Way Loudspeaker, Traditional Footprint, Pivoting Aluminum Tweeter, 6.5"" IMG Woofer (Pair).",232,667,Pair (pr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ohm,,,,,,
Origin Acoustics,Composer,CIW65,In-Wall,Speaker,Indoor,"Composer In-Wall Series - Rectangular In-Wall 2 Way Loudspeaker, Traditional Footprint, Pivoting Silk DPSD Tweeter, 6.5"" IMG Woofer (Pair).",291,834,Pair (pr),,,45Hz–20kHz,,,,,"6.5"" IMG",,"1"" DPSD™ Pivoting",,"3"" (76mm)","Cutout: 10-3/4"" × 6-15/16"" (273×176mm)","Grille: 12-13/32"" × 8-19/32"" (315×218mm)",,,,,,,,,,,,,RMS: 25–110W,"12"" × 8-3/16"" (305×208mm)",,,,,,In-Ceiling Speaker,,
Origin Acoustics,Composer,CSUB10R EX,In-Wall,Subwoofer,Marine,"Explorer Retrofit In-Wall Subwoofer with 10"" aluminum woofer and aluminum slide enclosure for post-construction installation.",968,1935,each (ea),"10"" Anodized Aluminum (254mm)",,30Hz – 250Hz,SUBA500 / SUBA150,,,,,,,,,,,,,,,,,,,,,,,Handling: 100W – 500W,"13"" H x 11"" W x 13"" D (330 x 330 x 330mm) | Enclosure: 14.375"" L x 14.375"" D",,8 Ohm,,,,,,
Origin Acoustics,Director,D101,In-Ceiling,Speaker,Indoor,"Director 10"" Series - In-Ceiling Loudspeaker with an 10"" Poly-Rubber Woofer, Pivoting Silk Dome Tweeter and Tool-less Installation.",307,882,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D103DT,In-Ceiling,Speaker,Indoor,"D103DT in-ceiling speaker has dual 1"" Aluminum tweeters and a 10"" IMG woofer.",420,1204,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D105,In-Ceiling,Speaker,Indoor,"Director 10"" Series - Fully Pivoting 3-Way In-Ceiling Loudspeaker with a 10"" IMG Woofer, Exclusive DPSD tweeter Technology and Tool-Less Installation",490,1414,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D105EX,In-Ceiling,Speaker,Marine,"Explorer Series - Fully Pivoting 3-Way In-Ceiling Loudspeaker with 10"" IMG Woofer, Aluminum Tweeter, Extended Weather Protection, and Tool-Less Installation.",559,1602,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D107,In-Ceiling,Speaker,Indoor,"Director 10"" Series - Fully Pivoting 3-Way In-Ceiling Loudspeaker with a 10"" Glass Fiber Woofer, Exclusive DPSD Tweeter Technology and Tool-Less Installation",629,1828,each (ea),,,28Hz–20kHz,,,,,"10"" Glass Fiber","4"" Glass Fiber MMP™","3/4"" Silk DPSD™",,"6.25"" (158mm)","10.375"" (264mm)","Grille Dia: 11.75"" (299mm); Depth: 3/16"" (5mm)",,,,,,,,,,,,,RMS: 50W RMS | Peak: 150W,"Spk Dia: 11.5"" (286mm)",,6?,,,,In-Ceiling Speaker 3-Way,,
Origin Acoustics,Director,D109,In-Ceiling,Speaker,Indoor,"Director 10"" Series - Fully Pivoting 3-Way In-Ceiling Loudspeaker with a 10"" Kevlar Woofer, Exclusive DPSD Tweeter Technology and Tool-Less Installation.",748,2150,each (ea),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 ohm,,,,,,
Origin Acoustics,Director,D39,In-Ceiling,Speaker,Indoor,"Director 3"" Minimal Opening In-Ceiling Speaker with Kevlar 3"" Woofer, 3/4"" silk DPSD tweeter, and Tool-Less Installation System.  Includes both Square and Round 4 1/4"" Magnetic Grilles.",178,511,each (ea),,,100Hz–20kHz,,,,,"3"" Kevlar®",,"3/4"" Silk DPSD™",,"3-15/16"" (100mm)","3.25"" (83mm)","Grille Dia: 4.25"" (108mm); Depth: 1/8"" (3mm)",,,,,,,,,,,,,RMS: 30W RMS | Peak: 100W,"Spk Dia: 3-15/16"" (100mm)",,10?,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D51DT,In-Ceiling,Speaker,Indoor,"Director Minimal Opening Series - 5.25"" In-Ceiling Loudspeakers with 20mm black Teteron dome dual tweeter, neo magnet, 12dB crossover for tweeter and woofer",146,420,each (ea),,,83Hz–20kHz (–3dB),,,,,"5.25"" PP",,"Dual 3/4"" Teteron",,"3.5"" (90mm)",,,,,,,,,,,,,,,RMS: 30–100W,,,6 ohm,,,,In-Ceiling Speaker 2-Way Dual Tweeter,,
Origin Acoustics,Director,D53,In-Ceiling,Speaker,Indoor,"Director Minimal Opening Series - In-Ceiling Loudspeaker with aluminum dome Tweeter, 5"" Glass Fiber Woofer, and Tool-Less Installation.",113,328,each (ea),,,82Hz–20kHz (–3dB),,,,,"5.25"" IMG",,"1"" Aluminum MMP™",,"3.5"" (90mm)",,,,,,,,,,,,,,,RMS: 30–100W,,,6 ohm,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D53DT,In-Ceiling,Speaker,Indoor,"Director Minimal Opening Series - In-Ceiling Loudspeaker with dual Tweeters, 5"" Glass Fiber Woofer, and Tool-Less Installation.",178,511,each (ea),,,84Hz–20kHz (–3dB),,,,,"5.25"" IMG",,"Dual 3/4"" Aluminum",,"3.5"" (90mm)",,,,,,,,,,,,,,,RMS: 30–100W,,,6 ohm,,,,In-Ceiling Speaker 2-Way Dual Tweeter,,
Origin Acoustics,Director,D55,In-Ceiling,Speaker,Indoor,"Director Minimal Opening Series - In-Ceiling Loudspeaker with DPSD dome Tweeter, 5"" Glass Fiber Woofer, and Tool-Less Installation.",146,420,each (ea),,,83Hz–20kHz (–3dB),,,,,"5.25"" IMG",,"1"" Silk DPSD™ MMP™",,"3.5"" (90mm)",,,,,,,,,,,,,,,RMS: 30–100W,,,6 ohm,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D55EX,In-Ceiling,Speaker,Marine,"Explorer Series - Fully Pivoting 2-Way In-Ceiling Loudspeaker with 5.25"" Woofer, Aluminum Tweeter, Extended Weather Protection, and Tool-Less Installation.",178,511,each (ea),,,83Hz–20kHz (–3dB),,,,,"5.25"" IMG",,"1"" Silk DPSD™ MMP™",,"3.5"" (90mm)",,,,,,,,,,,,,,,RMS: 30–100W,,,6 ohm,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D57,In-Ceiling,Speaker,Indoor,"Director Minimal Opening Series - In-Ceiling Loudspeaker with Silk DPSD Tweeter, 5"" Glass Fiber Woofer, and Tool-Less Installation.",178,511,each (ea),,,69Hz–20kHz,,,,,"5.25"" Glass Fiber",,"1"" Silk DPSD™ MMP™",,"3.75"" (95mm)",,,,,,,,,,,,,,,RMS: 40–125W,,,6 ohm,,,,In-Ceiling Speaker 2-Way,,
Origin Acoustics,Director,D57DT/SUR,In-Ceiling,Speaker,Indoor,"Director Minimal Opening Series - In-Ceiling Loudspeaker with Silk DPSD Tweeter, 5"" Glass Fiber Woofer, and Tool-Less Installation.",215,619,each (ea),,,69Hz–20kHz,,,,,"5.25"" Glass Fiber",,"Dual 3/4"" Silk DPSD™",,"3.75"" (95mm)",,,,,,,,,,,,,,,RMS: 40–125W,,,6 ohm,,,,In-Ceiling Speaker 2-Way Dual Tweeter,,
Origin Acoustics,Director,D59,In-Ceiling,Speaker,Indoor,"Director Minimal Opening Series - In-Ceiling Loudspeaker with Silk DPSD Tweeter, 5"" Kevlar Woofer, and Tool-Less Installation.",237,683,each (ea),,,68Hz–20kHz,,,,,"5.25"" Kevlar®",,"1"" Silk DPSD™ MMP™",,"3.75"" (95mm)",,,,,,,,,,,,,,,RMS: 40–125W,,,6 ohm,,,,In-Ceiling Speaker 2-Way,,
